sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File Documentation for the Completers by award level, gender, race/ethnicity and age categories data file, 2018-19",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,Filename,C2019_C
Introduction,3,  Provisional release:,July 2020
Introduction,4,Filename,C2019_C_RV
Introduction,5,  Final/revised release:,July 2021
Introduction,6,Overview,"This file contains the number of students receiving a degree or certificate by level of award and by race/ethnicity,  gender and age categories. Data covers awards granted between July 1, 2018 and June 30, 2019. This file contains multiple records per institution. Each record is uniquely defined by the variables IPEDS ID (UNITID) and award level (AWLEVELC).  Each record will contain the total number of students receiving awards;  number of  men and women receiving awards: number of students receiving awards for all nine race/ethnicity categories; number of students receiving awards are also available for the following age groups: under 18, 18-24, 25-39, 40 and above.  Numbers are not available for combinations of race, gender and age.",,,,,,,,
Introduction,7,Note:,"Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) Web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match First Look Web tables based on provisional data. ",,,,,,,,
Introduction,8,Contents of spreadsheet,,,,,,,,,
Introduction,9,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,10,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,11,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(provisional release),,,,,,,,
Introduction,12,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.(provisional release)",,,,,,,,
Introduction,13,FrequenciesRV,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable. (final/revised release),,,,,,,,
Introduction,14,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (final/revised release)",,,,,,,,
Introduction,15,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,33200,AWLEVELC,N,2,Disc,,Award Level code
varlist,3,33205,CSTOTLT,N,6,Cont,XCSTOTLT,Grand total
varlist,4,33210,CSTOTLM,N,6,Cont,XCSTOTLM,Grand total men
varlist,5,33215,CSTOTLW,N,6,Cont,XCSTOTLW,Grand total women
varlist,6,33220,CSAIANT,N,6,Cont,XCSAIANT,American Indian or Alaska Native total
varlist,7,33225,CSASIAT,N,6,Cont,XCSASIAT,Asian total
varlist,8,33230,CSBKAAT,N,6,Cont,XCSBKAAT,Black or African American total
varlist,9,33235,CSHISPT,N,6,Cont,XCSHISPT,Hispanic or Latino total
varlist,10,33240,CSNHPIT,N,6,Cont,XCSNHPIT,Native Hawaiian or Other Pacific Islander total
varlist,11,33245,CSWHITT,N,6,Cont,XCSWHITT,White total
varlist,12,33250,CS2MORT,N,6,Cont,XCS2MORT,Two or more races total
varlist,13,33255,CSUNKNT,N,6,Cont,XCSUNKNT,Race/ethnicity unknown total
varlist,14,33260,CSNRALT,N,6,Cont,XCSNRALT,Nonresident alien total
varlist,15,33265,CSUND18,N,6,Cont,XCSUND18,"Ages, under 18"
varlist,16,33270,CS18_24,N,6,Cont,XCS18_24,"Ages, 18-24"
varlist,17,33275,CS25_39,N,6,Cont,XCS25_39,"Ages, 25-39"
varlist,18,33280,CSABV40,N,6,Cont,XCSABV40,"Ages, 40 and above"
varlist,19,33285,CSUNKN,N,6,Cont,XCSUNKN,Age unknown
varlist,20,,,,,,,
varlist,21,,,,,,,
varlist,22,,,,,,,
varlist,23,,,,,,,
varlist,24,,,,,,,
varlist,25,,,,,,,
varlist,26,,,,,,,
varlist,27,,,,,,,
varlist,28,,,,,,,
varlist,29,,,,,,,
varlist,30,,,,,,,
varlist,31,,,,,,,
varlist,32,,,,,,,
varlist,33,,,,,,,
varlist,34,,,,,,,
varlist,35,,,,,,,
varlist,36,,,,,,,
varlist,37,,,,,,,
varlist,38,,,,,,,
varlist,39,,,,,,,
varlist,40,,,,,,,
varlist,41,,,,,,,
varlist,42,,,,,,,
varlist,43,,,,,,,
varlist,44,,,,,,,
varlist,45,,,,,,,
varlist,46,,,,,,,
varlist,47,,,,,,,
varlist,48,,,,,,,
varlist,49,,,,,,,
varlist,50,,,,,,,
varlist,51,,,,,,,
varlist,52,,,,,,,
varlist,53,,,,,,,
varlist,54,,,,,,,
varlist,55,,,,,,,
varlist,56,,,,,,,
varlist,57,,,,,,,
varlist,58,,,,,,,
varlist,59,,,,,,,
varlist,60,,,,,,,
varlist,61,,,,,,,
varlist,62,,,,,,,
varlist,63,,,,,,,
varlist,64,,,,,,,
varlist,65,,,,,,,
varlist,66,,,,,,,
varlist,67,,,,,,,
varlist,68,,,,,,,
varlist,69,,,,,,,
varlist,70,,,,,,,
varlist,71,,,,,,,
varlist,72,,,,,,,
varlist,73,,,,,,,
varlist,74,,,,,,,
varlist,75,,,,,,,
varlist,76,,,,,,,
varlist,77,,,,,,,
varlist,78,,,,,,,
varlist,79,,,,,,,
varlist,80,,,,,,,
varlist,81,,,,,,,
varlist,82,,,,,,,
varlist,83,,,,,,,
varlist,84,,,,,,,
varlist,85,,,,,,,
varlist,86,,,,,,,
varlist,87,,,,,,,
varlist,88,,,,,,,
varlist,89,,,,,,,
varlist,90,,,,,,,
varlist,91,,,,,,,
varlist,92,,,,,,,
varlist,93,,,,,,,
varlist,94,,,,,,,
varlist,95,,,,,,,
varlist,96,,,,,,,
varlist,97,,,,,,,
varlist,98,,,,,,,
varlist,99,,,,,,,
varlist,100,,,,,,,
varlist,101,,,,,,,
varlist,102,,,,,,,
varlist,103,,,,,,,
varlist,104,,,,,,,
varlist,105,,,,,,,
varlist,106,,,,,,,
varlist,107,,,,,,,
varlist,108,,,,,,,
varlist,109,,,,,,,
varlist,110,,,,,,,
varlist,111,,,,,,,
varlist,112,,,,,,,
varlist,113,,,,,,,
varlist,114,,,,,,,
varlist,115,,,,,,,
varlist,116,,,,,,,
varlist,117,,,,,,,
varlist,118,,,,,,,
varlist,119,,,,,,,
varlist,120,,,,,,,
varlist,121,,,,,,,
varlist,122,,,,,,,
varlist,123,,,,,,,
varlist,124,,,,,,,
varlist,125,,,,,,,
varlist,126,,,,,,,
varlist,127,,,,,,,
varlist,128,,,,,,,
varlist,129,,,,,,,
varlist,130,,,,,,,
varlist,131,,,,,,,
varlist,132,,,,,,,
varlist,133,,,,,,,
varlist,134,,,,,,,
varlist,135,,,,,,,
varlist,136,,,,,,,
varlist,137,,,,,,,
Description,0,varnumber,varname,longDescription
Description,1,1,UNITID,Unique identification number of the institution
Description,2,33200,AWLEVELC,"Completers (Students receiving awards/degree by award level are available for the following seven award levels:

Less than 1-year certificates 
At least 1 but less than 4-year certificates (combines 1 but less than 2-year and 2 but less than 4-years) 
Associate's degrees 
Bachelor's degrees 
Master's degrees 
Doctor's degrees (combines research, professional practice and other doctoral)
Postbaccalaureate and post-master's certificates"
Description,3,33205,CSTOTLT,"Number of students receiving awards/degrees conferred between July 1, 2018 and June 30, 2019 to all recipients, across all race/ethnicities and both genders"
Description,4,33210,CSTOTLM,"Number of men receiving awards/degrees  conferred between July 1, 2018 and June 30, 2019"
Description,5,33215,CSTOTLW,"Number of women receiving awards/degrees  conferred between July 1, 2018 and June 30, 2019"
Description,6,33220,CSAIANT,"Number of American Indian or Alaska Native men and women receiving awards/degrees conferred between July 1, 2018 and June 30, 2019. 

American Indian or Alaska Native - A person having origins in any of the original peoples of North and South America (including Central America) who maintains cultural identification through tribal affiliation or community attachment"
Description,7,33225,CSASIAT,"Number of Asian men and women receving awards/degrees conferred between July 1, 2018 and June 30, 2019. 

Asian - A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian Subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam."
Description,8,33230,CSBKAAT,"Number of Black or African American men and women receving awards/degrees conferred between July 1, 2018 and June 30, 2019. 

Black or African American - A person having origins in any of the black racial groups of Africa"
Description,9,33235,CSHISPT,"Number of Hispanic or Latino men and women receiving awards/degrees conferred between July 1, 2018 and June 30, 2019. 

Hispanic or Latino - A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race."
Description,10,33240,CSNHPIT,"Number of Native Hawaiian or Other Pacific Islanders men and women receivng awards/degrees conferred between July 1, 2018 and June 30, 2019. 

Native Hawaiian or Other Pacific Islanders - A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands."
Description,11,33245,CSWHITT,"Number of White men and women receiving awards/degrees conferred between July 1, 2018 and June 30, 2019. 

White - A person having origins in any of the original peoples of Europe, the Middle East, or North Africa."
Description,12,33250,CS2MORT,"Number of  men and women of two or more races receiving awards/degrees conferred between July 1, 2018 and June 30, 2019. 

Two or more races - Category used by institutions to report persons who selected more than one race."
Description,13,33255,CSUNKNT,"Number of race/ethnicity unknown men and women receiving awards/degrees conferred between July 1, 2018e 30, 2019.
                                                        
Race/ethnicity unknown - Category used to classify students or employees whose race/ethnicity is not known, and institutions are unable to place them in one of the specified racial/ethnic categories."
Description,14,33260,CSNRALT,"Number of nonresident alien men and women receiving awards/degrees  conferred between July 1, 2018 and June 30, 2019. 

Nonresident alien  - A person who is not a citizen or national of the United States and who is in this country on a visa or temporary basis and does not have the right to remain indefinitely."
Description,15,33265,CSUND18,"Number of students under the age of 18 receiving awards/degrees between July 1, 2018 and June 30, 2019."
Description,16,33270,CS18_24,"Number of students between the ages of 18 and 24 receiving awards/degrees between July 1, 2018 and June 30, 2019."
Description,17,33275,CS25_39,"Number of students between the ages of 25 and 36 receiving awards/degrees between July 1, 2018 and June 30, 2019."
Description,18,33280,CSABV40,"Number of students between the ages 40 and above receiving awards/degrees between July 1, 2018 and June 30, 2019."
Description,19,33285,CSUNKN,"Number of students age unknown receiving awards/degrees between July 1, 2018 and June 30, 2019."
Description,20,,,
Description,21,,,
Description,22,,,
Description,23,,,
Description,24,,,
Description,25,,,
Description,26,,,
Description,27,,,
Description,28,,,
Description,29,,,
Description,30,,,
Description,31,,,
Description,32,,,
Description,33,,,
Description,34,,,
Description,35,,,
Description,36,,,
Description,37,,,
Description,38,,,
Description,39,,,
Description,40,,,
Description,41,,,
Description,42,,,
Description,43,,,
Description,44,,,
Description,45,,,
Description,46,,,
Description,47,,,
Description,48,,,
Description,49,,,
Description,50,,,
Description,51,,,
Description,52,,,
Description,53,,,
Description,54,,,
Description,55,,,
Description,56,,,
Description,57,,,
Description,58,,,
Description,59,,,
Description,60,,,
Description,61,,,
Description,62,,,
Description,63,,,
Description,64,,,
Description,65,,,
Description,66,,,
Description,67,,,
Description,68,,,
Description,69,,,
Description,70,,,
Description,71,,,
Description,72,,,
Description,73,,,
Description,74,,,
Description,75,,,
Description,76,,,
Description,77,,,
Description,78,,,
Description,79,,,
Description,80,,,
Description,81,,,
Description,82,,,
Description,83,,,
Description,84,,,
Description,85,,,
Description,86,,,
Description,87,,,
Description,88,,,
Description,89,,,
Description,90,,,
Description,91,,,
Description,92,,,
Description,93,,,
Description,94,,,
Description,95,,,
Description,96,,,
Description,97,,,
Description,98,,,
Description,99,,,
Description,100,,,
Description,101,,,
Description,102,,,
Description,103,,,
Description,104,,,
Description,105,,,
Description,106,,,
Description,107,,,
Description,108,,,
Description,109,,,
Description,110,,,
Description,111,,,
Description,112,,,
Description,113,,,
Description,114,,,
Description,115,,,
Description,116,,,
Description,117,,,
Description,118,,,
Description,119,,,
Description,120,,,
Description,121,,,
Frequencies,0,varnumber,varname,codevalue,valuelabel,frequency,percent
Frequencies,1,33200,AWLEVELC,3,Associate's degree,2513,16.16
Frequencies,2,33200,AWLEVELC,5,Bachelor's degree,2409,15.49
Frequencies,3,33200,AWLEVELC,7,Master's degree,1953,12.56
Frequencies,4,33200,AWLEVELC,9,Doctor's degree,1073,6.9
Frequencies,5,33200,AWLEVELC,10,Postbaccalaureate or Post-master's certificate,1013,6.5199999999999987
Frequencies,6,33200,AWLEVELC,1,Award of less than 1 academic year,2899,18.649999999999999
