sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File Documentation for the 12-month Instructional Activity Data File, 2019-20",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,EFIA2020
Introduction,4,  Provisional release:,July 2021
Introduction,5,Filename,EFIA2020_RV
Introduction,6,  Final/revised release:,August 2022
Introduction,7,,
Introduction,8,Overview,"This table contains data on instructional activity measured in total credit and/or contact hours delivered by institutions during the 12-month period, July 1 2019 - June 30, 2020.  The credit hour and contact hour activity data are used to derive 12-month full-time equivalent (FTE) enrollments for both undergraduate and graduate levels. The graduate level does not include credit hours for doctoral professional practice students.   Institutions can choose to accept the derived FTE  or report their own FTE.  Both reported and estimated/derived FTE are available in this data table. In addition, the reported FTE of Doctoral Professional practice students are also included.
",,,,,,,,
Introduction,9,Note,"Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) Web Tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match First Look Web Tables based on provisional data. ",,,,,,,,
Introduction,10,Contents of spreadsheet,,,,,,,,,
Introduction,11,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,12,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,13,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(provisional release),,,,,,,,
Introduction,14,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.(provisional release)",,,,,,,,
Introduction,15,FrequenciesRV,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable. (final/revised release),,,,,,,,
Introduction,16,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (final/revised release)",,,,,,,,
Introduction,17,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,20886,CDACTUA,N,8,Cont,XCDACTUA,12-month instructional activity credit hours: undergraduates
varlist,3,20891,CNACTUA,N,8,Cont,XCNACTUA,12-month instructional activity clock hours: undergraduates
varlist,4,20896,CDACTGA,N,8,Cont,XCDACTGA,12-month instructional activity credit hours: graduates
varlist,5,22024,EFTEUG,N,8,Cont,XEFTEUG,"Estimated full-time equivalent (FTE) undergraduate enrollment, 2019-20"
varlist,6,22025,EFTEGD,N,8,Cont,XEFTEGD,"Estimated full-time equivalent (FTE) graduate enrollment, 2019-20"
varlist,7,22026,FTEUG,N,8,Cont,XFTEUG,"Reported full-time equivalent (FTE) undergraduate enrollment, 2019-20"
varlist,8,22027,FTEGD,N,8,Cont,XFTEGD,"Reported full-time equivalent (FTE) graduate enrollment, 2019-20"
varlist,9,24811,FTEDPP,N,8,Cont,XFTEDPP,"Reported full-time equivalent (FTE) doctors professional practice, 2019-20"
varlist,10,22028,ACTTYPE,N,8,Disc,,Is instructional activity based on credit or clock hours
varlist,11,,,,,,,
varlist,12,,,,,,,
varlist,13,,,,,,,
varlist,14,,,,,,,
varlist,15,,,,,,,
varlist,16,,,,,,,
varlist,17,,,,,,,
varlist,18,,,,,,,
varlist,19,,,,,,,
varlist,20,,,,,,,
varlist,21,,,,,,,
varlist,22,,,,,,,
varlist,23,,,,,,,
varlist,24,,,,,,,
varlist,25,,,,,,,
varlist,26,,,,,,,
varlist,27,,,,,,,
varlist,28,,,,,,,
varlist,29,,,,,,,
varlist,30,,,,,,,
varlist,31,,,,,,,
varlist,32,,,,,,,
varlist,33,,,,,,,
varlist,34,,,,,,,
varlist,35,,,,,,,
varlist,36,,,,,,,
varlist,37,,,,,,,
varlist,38,,,,,,,
varlist,39,,,,,,,
varlist,40,,,,,,,
varlist,41,,,,,,,
varlist,42,,,,,,,
varlist,43,,,,,,,
varlist,44,,,,,,,
varlist,45,,,,,,,
varlist,46,,,,,,,
varlist,47,,,,,,,
varlist,48,,,,,,,
varlist,49,,,,,,,
varlist,50,,,,,,,
varlist,51,,,,,,,
varlist,52,,,,,,,
varlist,53,,,,,,,
varlist,54,,,,,,,
varlist,55,,,,,,,
varlist,56,,,,,,,
varlist,57,,,,,,,
varlist,58,,,,,,,
varlist,59,,,,,,,
varlist,60,,,,,,,
varlist,61,,,,,,,
varlist,62,,,,,,,
varlist,63,,,,,,,
varlist,64,,,,,,,
varlist,65,,,,,,,
varlist,66,,,,,,,
varlist,67,,,,,,,
