sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File Documentation for the Institutional Characteristics Data File, 2020-21",,,,,,,,,
Introduction,1,(Final/Revised),,,,,,,,,
Introduction,2,,,,,,,,,,
Introduction,3,Filename,IC2020
Introduction,4,  Provisional release 1:,July 2021
Introduction,5,  Provisional release 2:,December 2021
Introduction,6,Filename,IC2020_RV
Introduction,7,  Final/revised release:,August 2022
Introduction,8,,
Introduction,9,Overview,"This file contains data on program and award level offerings, control and affiliation of institution. It also contains information on special learning opportunities, student services, disability services, tuition plans and athletic conference associations. Services and programs for service members and veterans are also included. Beginning in  2020-21, the less-than-1-year certificate award level is divided into the following two award levels: certificates of less-than-12-weeks and certificates of at least 12 weeks but less than 1 year. 

Several variables in this release, including open admissions policy, distance education offerings and library services were updated based on admissions data collected in the winter collection, distance education fall enrollments and academic library data collected in the spring of the IPEDS survey year. 

Admissions and test score data, which has been part of the Institutional Characteristics survey component since 2001-02, was moved to the new ADM survey component in 2014 and will be released with other survey components of the IPEDS winter collection module.

",,,,,,,,
Introduction,10,Note,"Provisional release data have undergone all NCES data quality control procedures. Data are imputed for nonresponding institutions. These data are used for First Look (Provisional Data) web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. The final release data can be used when the most up to date data are required; however, these data may not match tables from the First Look web tables based on provisional data. ",,,,,,,,
Introduction,11,,,,,,,,,,
Introduction,12,Contents of spreadsheet,,,,,,,,,
Introduction,13
Introduction,14,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the Data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,15,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,16,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(provisional release),,,,,,,,
Introduction,17,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file.(provisional release)",,,,,,,,
Introduction,18,FrequenciesRV,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable. (final/revised release),,,,,,,,
Introduction,19,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (final/revised release)",,,,,,,,
Introduction,20,Imputation code values,This worksheet lists the code values for all imputation flag variables.,,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,10361,PEO1ISTR,N,2,Disc,,Occupational
varlist,3,10366,PEO2ISTR,N,2,Disc,,Academic
varlist,4,10371,PEO3ISTR,N,2,Disc,,Continuing professional
varlist,5,10376,PEO4ISTR,N,2,Disc,,Recreational or avocational
varlist,6,10381,PEO5ISTR,N,2,Disc,,Adult basic remedial or high school equivalent
varlist,7,10386,PEO6ISTR,N,2,Disc,,Secondary (high school)
varlist,8,10391,CNTLAFFI,N,2,Disc,,Institutional control or affiliation
varlist,9,10396,PUBPRIME,N,2,Disc,,Primary public control
varlist,10,10401,PUBSECON,N,2,Disc,,Secondary public control
varlist,11,10406,RELAFFIL,N,3,Disc,,Religious affiliation
varlist,12,10411,LEVEL1,N,2,Disc,,Certificate of less than 1 year
varlist,13,10412,LEVEL1A,N,2,Disc,,Certificate of less than 12 weeks
varlist,14,10413,LEVEL1B,N,2,Disc,,"Certificate of at least 12 weeks, but less than 1 year"
varlist,15,10416,LEVEL2,N,2,Disc,,"Certifiicate of at least 1 year, but less than 2 years"
varlist,16,10421,LEVEL3,N,2,Disc,,Associate's degree
varlist,17,10426,LEVEL4,N,2,Disc,,"Certificate of at least 2 years, but less than 4 years"
varlist,18,10431,LEVEL5,N,2,Disc,,Bachelor's degree
varlist,19,10436,LEVEL6,N,2,Disc,,Postbaccalaureate certificate
varlist,20,10441,LEVEL7,N,2,Disc,,Master's degree
varlist,21,10446,LEVEL8,N,2,Disc,,Post-master's certificate
