sheet,row_idx,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Introduction,0,"File Documentation for the Admissions Data File, 2022-23",,,,,,,,,
Introduction,1,(Final/revised release),,,,,,,,,
Introduction,2,Filename,ADM2022,,,,,,,,
Introduction,3,  Provisional release:,December 2023
Introduction,4,Filename,ADM2022_RV
Introduction,5,  Final  release:,September 2024
Introduction,6,Overview,"This file contains information about the undergraduate selection process for entering first-time, degree/certificate-seeking students. This includes information about admission considerations,  applicants, applicants that were admitted, and admitted students who enrolled. SAT and ACT test scores are included for institutions, that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students.  In 2022-23, new admissions considerations were added and the 50th percentile (median) for test scores are available for the first time.  Additional gender variables were added for students that do not fit the binary gender categories provided (men/women).  For more information go to the various worksheets in this workbook.  The possible values for the admission consideration variables have also changed from previous versions.  See frequencies for complete listing.  Writing scores for both SAT and ACT have been discontinued since 2016-17.
",,,,,,,,
Introduction,7,Note,"IPEDS data, including provisional release data and final release data, adhere to rigorous quality control procedures established by NCES. Data are imputed for nonresponding institutions. Provisional release data are used for First Look  web tables. Final release data include revisions to the provisional release data that have been made by institutions during the subsequent data collection year. While the final release data offer  the most up to date data, these data may not match tables from the First Look web tables based on provisional release data.  							",,,,,,,,
Introduction,8,Contents of spreadsheet,,,,,,,,,
Introduction,9,Varlist,"Variable list: Lists all variables in the table. Includes the variable name, variable label and the data type, format and maximum field width of each variable.  The data type describes a variable as either a numeric (N) or Alphanumeric (A) and the format of a variable defines a variable as either continuous (Cont) or categorical (Disc).  It all also lists the variable name of all imputation flag variables for each continuous variable. Imputation flag variable describes whether a value for the corresponding variable was reported, imputed or not applicable.",,,,,,,,
Introduction,10,Description,Long description or glossary definition of a variable. ,,,,,,,,
Introduction,11,Frequencies,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable.(Provisional release),,,,,,,,
Introduction,12,Statistics,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. (Provisional release)",,,,,,,,
Introduction,13,FrequenciesRV,This worksheet contains the code values for of all categorical variables in the data file. It also lists the frequency and percent distribution for each code value by variable. (Final/revised release),,,,,,,,
Introduction,14,StatisticsRV,"This worksheet lists the sum, mean, minimum and maximum values of all continuous variables in the data file. ",,,,,,,,
Introduction,15,Imputation code values,This worksheet lists the code values for all imputation flag variables. (Final/revised released),,,,,,,,
varlist,0,varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
varlist,1,1,UNITID,N,6,Cont,,Unique identification number of the institution
varlist,2,10521,ADMCON1,N,2,Disc,,Secondary school GPA
varlist,3,10526,ADMCON2,N,2,Disc,,Secondary school rank
varlist,4,10531,ADMCON3,N,2,Disc,,Secondary school record
varlist,5,10536,ADMCON4,N,2,Disc,,Completion of college-preparatory program
varlist,6,10541,ADMCON5,N,2,Disc,,Recommendations
varlist,7,10546,ADMCON6,N,2,Disc,,Formal demonstration of competencies
varlist,8,10551,ADMCON7,N,2,Disc,,Admission test scores
varlist,9,10556,ADMCON8,N,2,Disc,,English Proficiency Test
varlist,10,10559,ADMCON9,N,2,Disc,,"Other Test (Wonderlic, WISC-III, etc.)"
varlist,11,10548,ADMCON10,N,2,Disc,,Work experience
varlist,12,10549,ADMCON11,N,2,Disc,,Personal statement or essay
varlist,13,10550,ADMCON12,N,2,Disc,,Legacy status
varlist,14,11016,APPLCN,N,6,Cont,XAPPLCN,Applicants total
varlist,15,10566,APPLCNM,N,6,Cont,XAPPLCNM,Applicants men
varlist,16,10571,APPLCNW,N,6,Cont,XAPPLCNW,Applicants women
varlist,17,10573,APPLCNAN,N,6,Cont,XAPPLCNAN,Applicants another gender
varlist,18,10574,APPLCNUN,N,6,Cont,XAPPLCNUN,Applicants gender unknown
varlist,19,11021,ADMSSN,N,6,Cont,XADMSSN,Admissions total
varlist,20,10576,ADMSSNM,N,6,Cont,XADMSSNM,Admissions men
varlist,21,10581,ADMSSNW,N,6,Cont,XADMSSNW,Admissions women
varlist,22,10584,ADMSSNAN,N,6,Cont,XADMSSNAN,Admissions another gender
varlist,23,10585,ADMSSNUN,N,6,Cont,XADMSSNUN,Admissions gender unknown
varlist,24,11011,ENRLT,N,6,Cont,XENRLT,Enrolled total
varlist,25,11001,ENRLM,N,6,Cont,XENRLM,Enrolled  men
varlist,26,11006,ENRLW,N,6,Cont,XENRLW,Enrolled  women
varlist,27,11009,ENRLAN,N,6,Cont,XENRLAN,Enrolled another gender
varlist,28,11010,ENRLUN,N,6,Cont,XENRLUN,Enrolled gender unknown
varlist,29,11026,ENRLFT,N,6,Cont,XENRLFT,Enrolled full time total
varlist,30,10586,ENRLFTM,N,6,Cont,XENRLFTM,Enrolled full time men
varlist,31,10591,ENRLFTW,N,6,Cont,XENRLFTW,Enrolled full time women
varlist,32,10594,ENRLFTAN,N,6,Cont,XENRLFTAN,Enrolled full time another gender
varlist,33,10595,ENRLFTUN,N,6,Cont,XENRLFTUN,Enrolled full time gender unknown
varlist,34,11031,ENRLPT,N,6,Cont,XENRLPT,Enrolled part time total
varlist,35,10596,ENRLPTM,N,6,Cont,XENRLPTM,Enrolled part time men
